Column 1,Column 2,Correlation,p-value
JOLTS_NondurableGoodsManuf,JOLTS_Transportion_Warehousing_Utilities,1.0,0.0
JOLTS_Transportion_Warehousing_Utilities,JOLTS_NondurableGoodsManuf,1.0,0.0
JOLTS_HealthCareSocialAssistance,JOLTS_PrivateEducation_HealthServices,0.9996415616994642,1.8445072402341747e-146
JOLTS_PrivateEducation_HealthServices,JOLTS_HealthCareSocialAssistance,0.9996415616994642,1.8445072402341747e-146
JOLTS_LeisureANDHospitality,JOLT_TotalNonfarm,0.9915567268739429,2.0175828120913567e-83
JOLT_TotalNonfarm,JOLTS_LeisureANDHospitality,0.9915567268739429,2.0175828120913567e-83
JOLT_TotalNonfarm,JOLTSProfessional_AND_BusinessServices,0.9857426940074673,5.189773042137511e-73
JOLTSProfessional_AND_BusinessServices,JOLT_TotalNonfarm,0.9857426940074673,5.189773042137511e-73
JOLTS_PrivateEducation_HealthServices,JOLT_TotalNonfarm,0.9814360441551664,8.846158199830135e-68
JOLT_TotalNonfarm,JOLTS_PrivateEducation_HealthServices,0.9814360441551664,8.846158199830135e-68
JOLTS_HealthCareSocialAssistance,JOLT_TotalNonfarm,0.9802896417889304,1.3576657503594011e-66
JOLT_TotalNonfarm,JOLTS_HealthCareSocialAssistance,0.9802896417889304,1.3576657503594011e-66
JOLTS_LeisureANDHospitality,JOLTSProfessional_AND_BusinessServices,0.9776225154442857,4.389304386604173e-64
JOLTSProfessional_AND_BusinessServices,JOLTS_LeisureANDHospitality,0.9776225154442857,4.389304386604173e-64
JOLTS_PrivateEducation_HealthServices,JOLTS_Government,0.9775467104741157,5.119452571055292e-64
JOLTS_Government,JOLTS_PrivateEducation_HealthServices,0.9775467104741157,5.119452571055292e-64
JOLTS_HealthCareSocialAssistance,JOLTS_Government,0.9766696270960894,2.925907908571243e-63
JOLTS_Government,JOLTS_HealthCareSocialAssistance,0.9766696270960894,2.925907908571243e-63
JOLTS_NondurableGoodsManuf,JOLT_TotalNonfarm,0.9764387341010963,4.5789573424863443e-63
JOLT_TotalNonfarm,JOLTS_Transportion_Warehousing_Utilities,0.9764387341010963,4.5789573424863443e-63
JOLT_TotalNonfarm,JOLTS_NondurableGoodsManuf,0.9764387341010963,4.5789573424863443e-63
JOLTS_Transportion_Warehousing_Utilities,JOLT_TotalNonfarm,0.9764387341010963,4.5789573424863443e-63
JOLTS_LeisureANDHospitality,JOLTS_NondurableGoodsManuf,0.9661854212429057,6.01154280564622e-56
JOLTS_Transportion_Warehousing_Utilities,JOLTS_LeisureANDHospitality,0.9661854212429057,6.01154280564622e-56
JOLTS_LeisureANDHospitality,JOLTS_Transportion_Warehousing_Utilities,0.9661854212429057,6.01154280564622e-56
JOLTS_NondurableGoodsManuf,JOLTS_LeisureANDHospitality,0.9661854212429057,6.01154280564622e-56
JOLTS_LeisureANDHospitality,JOLTS_PrivateEducation_HealthServices,0.961255602637724,2.8172860236273406e-53
JOLTS_PrivateEducation_HealthServices,JOLTS_LeisureANDHospitality,0.961255602637724,2.8172860236273406e-53
JOLTS_DurableGoodsManufacturing,JOLT_TotalNonfarm,0.960314459533734,8.320197015671043e-53
JOLT_TotalNonfarm,JOLTS_DurableGoodsManufacturing,0.960314459533734,8.320197015671043e-53
JOLTS_HealthCareSocialAssistance,JOLTS_LeisureANDHospitality,0.9599823506542854,1.2116640738555117e-52
JOLTS_LeisureANDHospitality,JOLTS_HealthCareSocialAssistance,0.9599823506542854,1.2116640738555117e-52
JOLTS_NondurableGoodsManuf,JOLTS_Government,0.95918499387361,2.949492737134241e-52
JOLTS_Government,JOLTS_NondurableGoodsManuf,0.95918499387361,2.949492737134241e-52
JOLTS_Government,JOLTS_Transportion_Warehousing_Utilities,0.95918499387361,2.949492737134241e-52
JOLTS_Transportion_Warehousing_Utilities,JOLTS_Government,0.95918499387361,2.949492737134241e-52
JOLTS_Government,JOLT_TotalNonfarm,0.9589441027517032,3.845552788622162e-52
JOLT_TotalNonfarm,JOLTS_Government,0.9589441027517032,3.845552788622162e-52
JOLTS_NondurableGoodsManuf,JOLTS_PrivateEducation_HealthServices,0.9588556537918624,4.2372911357567396e-52
JOLTS_Transportion_Warehousing_Utilities,JOLTS_PrivateEducation_HealthServices,0.9588556537918624,4.2372911357567396e-52
JOLTS_PrivateEducation_HealthServices,JOLTS_Transportion_Warehousing_Utilities,0.9588556537918624,4.2372911357567396e-52
JOLTS_PrivateEducation_HealthServices,JOLTS_NondurableGoodsManuf,0.9588556537918624,4.2372911357567396e-52
JOLTSProfessional_AND_BusinessServices,JOLTS_NondurableGoodsManuf,0.9587358396042179,4.8307028724306676e-52
JOLTSProfessional_AND_BusinessServices,JOLTS_Transportion_Warehousing_Utilities,0.9587358396042179,4.8307028724306676e-52
JOLTS_NondurableGoodsManuf,JOLTSProfessional_AND_BusinessServices,0.9587358396042179,4.8307028724306676e-52
JOLTS_Transportion_Warehousing_Utilities,JOLTSProfessional_AND_BusinessServices,0.9587358396042179,4.8307028724306676e-52
JOLTS_LeisureANDHospitality,JOLTS_DurableGoodsManufacturing,0.9571269280815388,2.706697225207269e-51
