Sector_1,Sector_2,Correlation
JOLTS_Government,JOLTSDurableGoodsManuf,0.9084397191432985
JOLTS_Government,JOLTSFinanceANDInsurance,0.8154822732826852
JOLTS_Government,JOLTSHealthCareSocialAssistance,0.9766696270960894
JOLTS_Government,JOLTSLeisureANDHospitality,0.9309616840943102
JOLTS_Government,JOLTSPrivEduHealthServices,0.9775467104741157
JOLTS_Government,JOLTSProf_AND_Bus.Services,0.9253645129041818
JOLTS_Government,JOLTSTransp_Warehousing_Utlts,0.95918499387361
JOLTS_Government,JOLTSNondurableGoodsManuf,0.885298354147568
JOLTS_Government,JTSJOL_TOTAL,0.9589441027517032
JOLTSDurableGoodsManuf,JOLTS_Information,0.8731380917649971
JOLTSDurableGoodsManuf,JOLTSFinanceANDInsurance,0.8454036372474774
JOLTSDurableGoodsManuf,JOLTSHealthCareSocialAssistance,0.9266470980909478
JOLTSDurableGoodsManuf,JOLTSLeisureANDHospitality,0.9571269280815388
JOLTSDurableGoodsManuf,JOLTSPrivEduHealthServices,0.9265097468501952
JOLTSDurableGoodsManuf,JOLTSProf_AND_Bus.Services,0.9454292486763498
JOLTSDurableGoodsManuf,JOLTSRetailTrade,0.8261883753498425
JOLTSDurableGoodsManuf,JOLTSTransp_Warehousing_Utlts,0.9295801937479136
JOLTSDurableGoodsManuf,JOLTSNondurableGoodsManuf,0.9393354306486901
JOLTSDurableGoodsManuf,JTSJOL_TOTAL,0.960314459533734
JOLTS_Information,JOLTSLeisureANDHospitality,0.8122814506206586
JOLTS_Information,JOLTSProf_AND_Bus.Services,0.8143511788002984
JOLTS_Information,JTSJOL_TOTAL,0.8144645848168823
JOLTSFinanceANDInsurance,JOLTSHealthCareSocialAssistance,0.8615289693454007
JOLTSFinanceANDInsurance,JOLTSLeisureANDHospitality,0.8825690834610292
JOLTSFinanceANDInsurance,JOLTSPrivEduHealthServices,0.8626928659003005
JOLTSFinanceANDInsurance,JOLTSProf_AND_Bus.Services,0.8584429940842795
JOLTSFinanceANDInsurance,JOLTSTransp_Warehousing_Utlts,0.8211773745439119
JOLTSFinanceANDInsurance,JTSJOL_TOTAL,0.8826192611020743
JOLTSHealthCareSocialAssistance,JOLTSLeisureANDHospitality,0.9599823506542854
JOLTSHealthCareSocialAssistance,JOLTSPrivEduHealthServices,0.9996415616994642
JOLTSHealthCareSocialAssistance,JOLTSProf_AND_Bus.Services,0.9552890739697546
JOLTSHealthCareSocialAssistance,JOLTSRetailTrade,0.81815223622619
JOLTSHealthCareSocialAssistance,JOLTSTransp_Warehousing_Utlts,0.9562944381292452
JOLTSHealthCareSocialAssistance,JOLTSNondurableGoodsManuf,0.9101980999662789
JOLTSHealthCareSocialAssistance,JTSJOL_TOTAL,0.9802896417889304
JOLTSLeisureANDHospitality,JOLTSPrivEduHealthServices,0.961255602637724
JOLTSLeisureANDHospitality,JOLTSProf_AND_Bus.Services,0.9776225154442857
JOLTSLeisureANDHospitality,JOLTSRetailTrade,0.9007405970688274
JOLTSLeisureANDHospitality,JOLTSTransp_Warehousing_Utlts,0.9661854212429057
JOLTSLeisureANDHospitality,JOLTSNondurableGoodsManuf,0.9428207669876866
JOLTSLeisureANDHospitality,JTSJOL_TOTAL,0.9915567268739429
JOLTSPrivEduHealthServices,JOLTSProf_AND_Bus.Services,0.9570380803433894
JOLTSPrivEduHealthServices,JOLTSRetailTrade,0.8210387984627354
JOLTSPrivEduHealthServices,JOLTSTransp_Warehousing_Utlts,0.9588556537918624
JOLTSPrivEduHealthServices,JOLTSNondurableGoodsManuf,0.9104249197082489
JOLTSPrivEduHealthServices,JTSJOL_TOTAL,0.9814360441551664
JOLTSProf_AND_Bus.Services,JOLTSRetailTrade,0.8841735448735332
JOLTSProf_AND_Bus.Services,JOLTSTransp_Warehousing_Utlts,0.9587358396042179
JOLTSProf_AND_Bus.Services,JOLTSNondurableGoodsManuf,0.9390707486440761
JOLTSProf_AND_Bus.Services,JTSJOL_TOTAL,0.9857426940074673
JOLTSRetailTrade,JOLTSTransp_Warehousing_Utlts,0.8650612819940618
JOLTSRetailTrade,JOLTSNondurableGoodsManuf,0.8663159774407038
JOLTSRetailTrade,JTSJOL_TOTAL,0.8926417269984392
JOLTSTransp_Warehousing_Utlts,JOLTSNondurableGoodsManuf,0.932912943796741
JOLTSTransp_Warehousing_Utlts,JTSJOL_TOTAL,0.9764387341010963
JOLTSNondurableGoodsManuf,JTSJOL_TOTAL,0.9473896587447566
