DATE,JOLTS_Government,JOLTSDurableGoodsManuf,JOLTS_Information,JOLTSFinanceANDInsurance,JOLTSHealthCareSocialAssistance,JOLTSLeisureANDHospitality,JOLTSPrivEduHealthServices,JOLTSProf_AND_Bus.Services,JOLTSRetailTrade,JOLTSTransp_Warehousing_Utlts,JOLTSNondurableGoodsManuf,JTSJOL_TOTAL,UNEMPLOYED,Year,JTSJOL_TOTAL_pct_change,UNEMPLOYED_pct_change,JTSJOL_TOTAL_std,UNEMPLOYED_std
2001-01-01,468.7,278.0,179.3,219.7,771.0,650.0,822.7,940.3,516.7,141.7,155.7,5031.0,6084.3,2001,,,,
2001-04-01,502.3,219.0,120.3,205.7,700.3,518.7,761.7,784.0,483.7,126.0,116.0,4467.0,6327.0,2001,-11.210494931425163,3.9889551797248624,,
2001-07-01,476.7,187.7,100.3,204.7,752.3,557.3,807.7,664.7,380.0,136.7,116.3,4180.7,6922.3,2001,-6.409223192299085,9.408882566777299,,
2001-10-01,464.3,141.3,79.3,150.0,694.3,420.3,745.7,588.3,421.0,109.7,100.7,3719.7,7985.0,2001,-11.026861530365728,15.351833928029702,,
2002-01-01,452.0,150.0,110.3,197.0,691.0,393.3,746.7,519.3,373.3,88.7,104.7,3582.3,8233.7,2002,-3.6938462779256276,3.1145898559799656,,
2002-04-01,434.3,148.0,84.3,173.0,640.0,372.3,705.3,540.7,339.3,106.7,96.7,3446.7,8463.7,2002,-3.78527761494013,2.7933978648724045,,
2002-07-01,424.7,152.7,82.7,156.3,650.7,374.0,703.7,577.3,367.0,84.3,89.3,3395.0,8315.0,2002,-1.4999854933704704,-1.7569148244857558,4.064948984024764,6.004969585569784
2002-10-01,394.3,138.0,69.0,186.0,637.7,388.3,684.7,598.0,318.7,95.7,84.3,3387.3,8489.0,2002,-0.22680412371133274,2.092603728202036,3.863798537849598,6.147573380209596
2003-01-01,395.3,123.3,88.7,158.7,561.0,368.7,605.3,627.3,342.3,88.7,77.0,3256.3,8575.3,2003,-3.8673870043987812,1.0166097302391153,3.742181517761754,5.940770735901737
2003-04-01,358.0,110.0,56.0,157.3,571.0,408.3,621.7,607.7,353.0,100.0,83.3,3262.3,9021.7,2003,0.1842582071676535,5.205648781966832,1.8749375954393994,2.3324593506423343
2003-07-01,331.3,123.3,74.3,180.0,507.3,374.3,551.0,576.7,340.0,94.7,76.7,3087.3,8942.7,2003,-5.3643135211354,-0.8756664486737509,2.2390323670483046,2.537519368669153
2003-10-01,340.3,145.7,76.7,160.7,538.3,447.3,586.3,615.3,360.7,94.7,90.3,3347.7,8541.7,2003,8.434554465066558,-4.484104353271379,4.822805201384989,3.353586946218606
2004-01-01,348.7,145.0,87.7,220.7,568.7,454.7,619.3,582.0,386.7,86.3,94.0,3493.7,8342.7,2004,4.361203214147036,-2.3297470058653458,5.136397477986264,3.427762935109819
2004-04-01,351.7,171.3,87.0,199.7,549.0,435.0,596.0,628.0,410.7,83.7,102.7,3519.3,8222.7,2004,0.7327475169591091,-1.4383832572188893,5.120909298528904,3.3195119891441784
2004-07-01,334.7,169.7,93.0,245.0,551.0,501.7,605.0,669.0,453.0,93.0,100.3,3725.3,8017.7,2004,5.8534367629926365,-2.493098374013414,4.902155783339855,3.3113597153185705
2004-10-01,381.3,172.7,84.7,206.7,582.0,461.7,651.0,777.0,405.3,85.0,91.0,3829.7,7975.7,2004,2.8024588623734914,-0.5238410017835538,4.7841095818837,1.4337183657759245
2005-01-01,344.7,185.0,87.3,225.3,588.3,541.3,643.7,739.3,480.0,96.7,98.3,3937.7,7833.7,2005,2.82006423479646,-1.7804079892673963,2.70422271762698,1.3327962495909502
2005-04-01,353.0,188.0,94.7,202.3,609.0,579.0,686.0,713.7,479.7,125.0,83.0,4006.0,7615.7,2005,1.7345150722503089,-2.7828484624124017,1.8326382635263774,0.8290513132922256
2005-07-01,391.7,208.0,112.0,246.3,632.0,511.7,703.7,810.7,503.7,132.3,96.7,4250.0,7434.7,2005,6.090863704443339,-2.3766692490512997,2.1826241403956907,0.8342185269335778
2005-10-01,389.3,215.3,106.0,278.3,610.7,540.3,686.3,746.0,480.0,114.0,100.3,4238.0,7432.7,2005,-0.2823529411764669,-0.026900883694025435,2.448231067742943,1.1349652261490313
2006-01-01,397.3,238.3,124.0,308.3,650.7,597.0,734.7,790.3,504.3,95.7,104.3,4484.7,7106.7,2006,5.821142048135908,-4.386023921320648,2.4411764934172644,1.5852882128688521
2006-04-01,421.3,216.7,140.3,285.0,645.0,586.7,712.7,899.0,510.7,146.7,118.7,4622.3,7033.7,2006,3.0682096907262535,-1.0271996848044807,2.4356998250453707,1.5040910739732527
2006-07-01,464.3,208.3,157.0,211.7,649.0,578.3,720.3,936.0,477.0,141.0,116.0,4613.7,7037.7,2006,-0.18605456158190536,0.05686907317627998,2.8117825744556546,1.7414990205128658
2006-10-01,429.0,213.3,154.3,227.0,715.0,594.7,784.3,833.3,510.0,139.0,118.0,4618.7,6787.0,2006,0.10837288943796874,-3.5622433465478776,2.9966435345725935,1.8584503800958156
2007-01-01,444.3,224.7,164.3,230.0,681.7,563.7,750.0,940.7,492.0,155.7,128.7,4808.0,6924.7,2007,4.098555870699561,2.028878738765294,2.5940953634872304,2.413667635894035
2007-04-01,437.7,219.0,176.0,197.7,729.7,593.3,804.3,940.3,477.3,140.7,136.3,4735.0,6865.0,2007,-1.518302828618967,-0.8621312114604263,2.8572732264311176,2.3592193043869365
2007-07-01,452.3,210.3,134.7,236.0,728.7,646.7,802.7,800.3,472.7,163.0,123.3,4598.7,7128.7,2007,-2.878563885955654,3.8412235979606635,2.669898870251529,2.581662323315846
2007-10-01,440.7,173.0,109.3,170.7,694.0,608.3,764.7,1026.7,448.0,141.3,128.7,4609.0,7374.0,2007,0.22397634113988651,3.441020101841863,2.3444491313897107,2.8310713244457713
2008-01-01,421.7,153.3,75.0,211.7,715.7,569.7,782.3,958.3,416.3,138.3,117.3,4376.0,7668.0,2008,-5.055326535040139,3.9869812855980458,3.1242774449728574,3.0632332519484122
2008-04-01,432.3,157.3,88.3,141.0,670.3,525.0,736.7,798.3,417.7,113.0,105.3,4019.7,8202.3,2008,-8.14213893967094,6.9679186228482015,4.241077055028666,2.5749297106059186
2008-07-01,391.3,135.3,68.7,161.7,620.7,427.0,692.0,651.7,370.7,116.3,98.3,3548.3,9289.7,2008,-11.72724332661641,13.257257110810405,4.4476693874637965,4.714919756984914
2008-10-01,365.3,112.0,62.0,131.3,582.0,368.7,653.0,560.7,420.0,84.0,86.0,3251.3,10632.7,2008,-8.370205450497426,14.456871588964116,4.2983991692210095,4.977542075457183
2009-01-01,363.0,62.0,62.7,117.3,496.3,276.7,551.7,507.0,332.0,60.3,60.7,2712.0,12794.0,2009,-16.587211269338418,20.326916023211417,5.720776893245765,6.7007305888272475
2009-04-01,318.7,45.0,39.7,110.3,474.3,284.0,522.0,429.7,308.0,69.3,48.3,2449.0,14353.0,2009,-9.6976401179941,12.185399405971541,3.924140266681812,5.769010819036662
2009-07-01,292.3,56.3,44.7,105.0,494.7,247.7,539.7,444.3,246.0,58.7,55.0,2352.3,14808.0,2009,-3.9485504287464224,3.1700689751271494,4.2143904990685535,5.9972075914101595
2009-10-01,354.3,80.0,53.0,101.0,483.3,266.0,529.3,426.7,251.7,46.7,73.7,2492.3,15223.0,2009,5.951621816945107,2.802539168017293,7.739878187950218,6.840194228444968
